Type,Name,Value,Enabled,Tags,Notes
variable,A,3,enabled,,
variable,r_cmfb,200,enabled,,
variable,Cl,2.5p,enabled,,
variable,FreqIn,1k,enabled,,
variable,INDM,0.05,enabled,,
variable,nL1,6,enabled,,
variable,nl2,6,enabled,,
variable,nl3,3,enabled,,
variable,nL5,6,enabled,,
variable,nL6,9,enabled,,
variable,nL7,9,enabled,,
variable,nnF3,33,enabled,,
variable,nnF5,180,enabled,,
variable,npF1,100,enabled,,
variable,npF2,170,enabled,,
variable,npF6,425,enabled,,
variable,npF7,425,enabled,,
variable,npW1,20,enabled,,
variable,npW2,20,enabled,,
variable,npW6,20,enabled,,
variable,npW7,20,enabled,,
variable,nnW3,20,enabled,,
variable,nnW5,20,enabled,,
variable,INCM,0.28,enabled,,
variable,OUTCMREF,0.84,enabled,,
variable,vb1,0.52,enabled,,
variable,vb3,0.66,enabled,,
variable,vb5,0.64,enabled,,
variable,vb6,0.54,enabled,,
variable,vb7,0.59,enabled,,
variable,vdd,1.1,enabled,,
paramset,"npW1 npW2 npW6 npW7 nnW3 nnW5"
paramset,"nL1 nl2 nl3 nL5 nL6 nL7"
